1;#BrooklynBloodPop!;SyKo
2;Poblado;Crissin
3;Tampa;Cico P
4;Na Ponta do Pé - Brega Funk;Nadson O Ferinha
5;Sofa-Breja e Netflix;Mac Júlia
6;After School;Weeekly
7;Kiss Me More (feat. SZA);Doja Cat
8;Binibini;Zack Tabudlo
9;Who I Smoke;Spinabenz
10;Rasputin;Majestic
11;Das ist alles von der Kunstfreiheit gedeckt;Danger Dan
12;Iko Iko;Justin Wellington
13;Freaks;Surf Curse
14;Krvn;UZI
15;Bipolar;Mc Davi
16;Venom;Little Simz
17;Barbar;Kaan Boşnak
18;Pareja Del Año;Sebastian Yatra
19;Perros Blancos Freestyle;Reckol
20;Nangangamba;Zack Tabudlo
21;WHOLE LOTTA MONEY;BIA
22;Volta Bebê-Volta Neném;Dj Guuga
23;Deixa Eu Falar pra Você;Josué Bom de Faixa
24;Body;Russ Millions
25;Runaway;AURORA
26;ASAP;STAYC
27;Break it off;PinkPantheress
28;Sneaky Link;HXLLYWOOD
29;Marea (We’ve Lost Dancing);Fred again..
30;Yucky Blucky Fruitcake;Iamdoechii
31;deja vu;Olivia Rodrigo
32;La Mamá de la Mamá;El Alfa
33;Romantic Lover;Eyedress
34;Fiołkowe Pole;Sobel
35;Tenang;Yura Yunita
36;Solid (feat. Drake);Young Stoner Life
37;Tiroteo - Remix;Marc Seguí
38;Seventeen;Ladytron
39;Tipo Gin - Ao Vivo;MC Kevin o Chris
40;YKWIM?;Yot Club
41;I Hear a Symphony;Cody Fry
42;Vida Louca;Mc Poze do Rodo
43;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton
44;Never Forget You;Noisettes
45;MONTERO (Call Me By Your Name);Lil Nas X
46;La Historia;El Taiger
47;Frans Duits;Donnie
48;Am;Nio Garcia
49;Leave The Door Open;Bruno Mars
50;Baby Me Atende;Matheus Fernandes
